outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,4,4,4,0.001879
True,True,True,4,4,8,0.0017415
True,True,True,4,4,16,0.0010544999999999
True,True,True,4,4,20,0.0007715
True,True,True,4,4,32,0.000803
True,True,True,4,4,50,0.000812
True,True,True,4,4,64,0.0006165
True,True,True,4,4,80,0.000745
True,True,True,4,4,100,0.0006904999999999
True,True,True,4,4,128,0.000776
True,True,True,4,4,256,0.0014415
True,True,True,4,8,4,0.001812
True,True,True,4,8,8,0.0017945
True,True,True,4,8,16,0.0008745
True,True,True,4,8,20,0.0008734999999999
True,True,True,4,8,32,0.000743
True,True,True,4,8,50,0.0007934999999999
True,True,True,4,8,64,0.000662
True,True,True,4,8,80,0.000746
True,True,True,4,8,100,0.000716
True,True,True,4,8,128,0.0007545
True,True,True,4,8,256,0.0013354999999999
True,True,True,4,16,4,0.0017894999999999
True,True,True,4,16,8,0.001644
True,True,True,4,16,16,0.0009325
True,True,True,4,16,20,0.0008259999999999
True,True,True,4,16,32,0.0007795
True,True,True,4,16,50,0.000799
True,True,True,4,16,64,0.0006295
True,True,True,4,16,80,0.0006855
True,True,True,4,16,100,0.0006225
True,True,True,4,16,128,0.0007935
True,True,True,4,16,256,0.001596
True,True,True,4,20,4,0.001801
True,True,True,4,20,8,0.00162
True,True,True,4,20,16,0.000849
True,True,True,4,20,20,0.000855
True,True,True,4,20,32,0.000778
True,True,True,4,20,50,0.0007899999999999
True,True,True,4,20,64,0.0007344999999999
True,True,True,4,20,80,0.0007045
True,True,True,4,20,100,0.000859
True,True,True,4,20,128,0.000667
True,True,True,4,20,256,0.001281
True,True,True,4,32,4,0.001939
True,True,True,4,32,8,0.0017545
True,True,True,4,32,16,0.0008964999999999
True,True,True,4,32,20,0.000802
True,True,True,4,32,32,0.0008309999999999
True,True,True,4,32,50,0.0007615
True,True,True,4,32,64,0.0008315
True,True,True,4,32,80,0.000664
True,True,True,4,32,100,0.000736
True,True,True,4,32,128,0.0007095
True,True,True,4,32,256,0.00191
True,True,True,4,50,4,0.001792
True,True,True,4,50,8,0.001592
True,True,True,4,50,16,0.0008955
True,True,True,4,50,20,0.000988
True,True,True,4,50,32,0.00085
True,True,True,4,50,50,0.000881
True,True,True,4,50,64,0.000823
True,True,True,4,50,80,0.0006625
True,True,True,4,50,100,0.000704
True,True,True,4,50,128,0.0008294999999999
True,True,True,4,50,256,0.0012014999999999
True,True,True,4,64,4,0.0020165
True,True,True,4,64,8,0.0016545
