outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,4,4,4,15.923777
True,True,True,4,4,8,13.0627665
True,True,True,4,4,16,5.466043
True,True,True,4,4,20,5.6497730000000015
True,True,True,4,4,32,3.9926545
True,True,True,4,4,50,3.71803
True,True,True,4,4,64,3.3266440000000004
True,True,True,4,4,80,3.4374155
True,True,True,4,4,100,3.4609335
True,True,True,4,4,128,3.190297
True,True,True,4,4,256,3.3477675
True,True,True,4,8,4,12.3049775
True,True,True,4,8,8,10.136054
True,True,True,4,8,16,4.5502045
True,True,True,4,8,20,4.0817805
True,True,True,4,8,32,3.089795
True,True,True,4,8,50,3.1670755
True,True,True,4,8,64,3.067271
True,True,True,4,8,80,2.851994
True,True,True,4,8,100,2.8941275
True,True,True,4,8,128,2.7981955000000003
True,True,True,4,8,256,2.768943
True,True,True,4,16,4,10.2388275
True,True,True,4,16,8,8.6205875
True,True,True,4,16,16,3.847873
True,True,True,4,16,20,3.4744144999999995
True,True,True,4,16,32,2.7892585
True,True,True,4,16,50,2.9100075
True,True,True,4,16,64,2.5778735
True,True,True,4,16,80,2.536101
True,True,True,4,16,100,2.633435
True,True,True,4,16,128,2.386588
True,True,True,4,16,256,2.399534
True,True,True,4,20,4,10.0144795
True,True,True,4,20,8,8.251175
True,True,True,4,20,16,3.665994
True,True,True,4,20,20,3.1386495
True,True,True,4,20,32,2.818262
True,True,True,4,20,50,2.758666
True,True,True,4,20,64,2.486743
True,True,True,4,20,80,2.6186095000000003
True,True,True,4,20,100,2.7226985
True,True,True,4,20,128,2.3049315000000004
True,True,True,4,20,256,2.4598825
True,True,True,4,32,4,9.5618305
True,True,True,4,32,8,7.9528045
True,True,True,4,32,16,3.3524155
True,True,True,4,32,20,3.378044
True,True,True,4,32,32,2.6661605
True,True,True,4,32,50,2.7496215
True,True,True,4,32,64,2.409534
True,True,True,4,32,80,2.6489135
True,True,True,4,32,100,2.408655
True,True,True,4,32,128,2.2331315
True,True,True,4,32,256,2.364422
True,True,True,4,50,4,9.0479855
True,True,True,4,50,8,7.647910499999999
True,True,True,4,50,16,3.597147
True,True,True,4,50,20,3.1863645
True,True,True,4,50,32,2.6700265
True,True,True,4,50,50,2.726124
True,True,True,4,50,64,2.300624
True,True,True,4,50,80,2.4166385
True,True,True,4,50,100,2.490128
True,True,True,4,50,128,2.301018
True,True,True,4,50,256,2.3871900000000004
True,True,True,4,64,4,9.127096
True,True,True,4,64,8,7.612375
True,True,True,4,64,16,3.4452825
True,True,True,4,64,20,3.3367865
True,True,True,4,64,32,2.7345900000000003
True,True,True,4,64,50,2.727167
True,True,True,4,64,64,2.3380125
True,True,True,4,64,80,2.5778920000000003
True,True,True,4,64,100,2.2590355
True,True,True,4,64,128,2.1770735
True,True,True,4,64,256,2.4171560000000003
True,True,True,4,80,4,9.019227
True,True,True,4,80,8,7.426047
True,True,True,4,80,16,3.662522
True,True,True,4,80,20,3.120936
True,True,True,4,80,32,2.804634
True,True,True,4,80,50,2.8099515
True,True,True,4,80,64,2.4306745000000003
True,True,True,4,80,80,2.5179005
True,True,True,4,80,100,2.6041600000000003
True,True,True,4,80,128,2.218502
True,True,True,4,80,256,2.4324305
True,True,True,4,100,4,9.3436715
True,True,True,4,100,8,7.5508289999999985
True,True,True,4,100,16,3.6658785
True,True,True,4,100,20,3.1816575
True,True,True,4,100,32,2.76743
True,True,True,4,100,50,2.6795375000000003
True,True,True,4,100,64,2.378462
True,True,True,4,100,80,2.43819
True,True,True,4,100,100,2.5624905
True,True,True,4,100,128,2.273453
True,True,True,4,100,256,2.4616395
True,True,True,4,128,4,9.627534
True,True,True,4,128,8,8.0636785
